epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,821.839,0.72763,0.37043,0.80863,0.99638,0.99742,0.99499,0.82967,0.68818,0.31592,0.79504,0.00023124,0.00023124,0.00023124
61,835.748,0.73244,0.37093,0.80975,0.99735,0.99718,0.99486,0.83121,0.68518,0.31346,0.79489,0.000225736,0.000225736,0.000225736
62,850.05,0.72855,0.36578,0.8087,0.99836,0.99825,0.99495,0.82817,0.6915,0.31428,0.79487,0.000220232,0.000220232,0.000220232
63,863.845,0.73739,0.36889,0.81019,0.99828,0.99923,0.995,0.8311,0.6849,0.31327,0.79377,0.000214727,0.000214727,0.000214727
64,877.88,0.72154,0.36623,0.80873,0.99751,0.99866,0.995,0.83286,0.67369,0.31,0.79425,0.000209223,0.000209223,0.000209223
65,891.9,0.72884,0.36824,0.80826,0.99891,0.99885,0.99498,0.8313,0.6896,0.31205,0.79524,0.000203718,0.000203718,0.000203718
66,905.764,0.71858,0.3637,0.80722,0.99784,0.99841,0.99471,0.83061,0.68175,0.31224,0.79383,0.000198214,0.000198214,0.000198214
67,919.878,0.72276,0.36394,0.80879,0.99881,0.99867,0.99496,0.8328,0.67204,0.30883,0.79346,0.00019271,0.00019271,0.00019271
68,933.503,0.71683,0.36008,0.80775,0.99857,0.99933,0.995,0.83075,0.6892,0.30952,0.79477,0.000187205,0.000187205,0.000187205
69,947.55,0.71796,0.36185,0.80874,0.99891,0.99824,0.995,0.8334,0.67987,0.30913,0.79365,0.000181701,0.000181701,0.000181701
70,961.529,0.71645,0.35906,0.80803,0.99886,0.99797,0.99493,0.83066,0.6786,0.3054,0.79402,0.000176196,0.000176196,0.000176196
71,975.334,0.7282,0.36153,0.80658,0.99835,0.99867,0.995,0.8335,0.67719,0.30576,0.79416,0.000170692,0.000170692,0.000170692
72,989.264,0.71999,0.35671,0.80779,0.99916,0.99868,0.995,0.83565,0.66984,0.30446,0.7932,0.000165188,0.000165188,0.000165188
73,1003,0.71531,0.35806,0.80748,0.99863,0.99714,0.99497,0.83153,0.68151,0.3077,0.7947,0.000159683,0.000159683,0.000159683
74,1034.87,0.71555,0.35679,0.80802,0.9991,0.99953,0.995,0.83691,0.67403,0.30063,0.79345,0.000154179,0.000154179,0.000154179
75,1048.07,0.70778,0.35208,0.80706,0.99876,0.99851,0.995,0.83569,0.67128,0.30514,0.79315,0.000148674,0.000148674,0.000148674
76,1061.51,0.71356,0.35211,0.80708,0.99842,0.99882,0.995,0.83339,0.68094,0.3037,0.7945,0.00014317,0.00014317,0.00014317
77,1075.27,0.71266,0.35283,0.8065,0.99806,0.9987,0.99494,0.83303,0.6811,0.30484,0.79421,0.000137666,0.000137666,0.000137666
78,1089.34,0.70962,0.34841,0.80682,0.99871,0.99884,0.995,0.83484,0.66978,0.30116,0.79328,0.000132161,0.000132161,0.000132161
79,1103.85,0.70358,0.34668,0.80529,0.99811,0.99962,0.995,0.83629,0.66886,0.3003,0.79312,0.000126657,0.000126657,0.000126657
80,1118.47,0.70615,0.3486,0.80717,0.9988,0.9992,0.995,0.83755,0.66318,0.29929,0.79236,0.000121152,0.000121152,0.000121152
81,1132.8,0.70088,0.34478,0.80687,0.99866,0.99811,0.995,0.83569,0.67138,0.30077,0.79348,0.000115648,0.000115648,0.000115648
82,1147.04,0.70681,0.34759,0.80645,0.99825,0.99938,0.995,0.83733,0.67031,0.29991,0.79345,0.000110144,0.000110144,0.000110144
